episode : 305 | score_avg : 11.369621404351602 | loss : 3.364950656890869 | done : True
episode : 306 | score_avg : 11.332659263916442 | loss : 3.812607526779175 | done : True
episode : 307 | score_avg : 11.299393337524798 | loss : 26.271299362182617 | done : True
episode : 308 | score_avg : 11.519454003772317 | loss : 4.071720123291016 | done : True
episode : 309 | score_avg : 11.317508603395085 | loss : 3.231712818145752 | done : True
episode : 310 | score_avg : 11.185757743055577 | loss : 50.802947998046875 | done : True
episode : 311 | score_avg : 11.51718196875002 | loss : 4.3578901290893555 | done : True
episode : 312 | score_avg : 11.715463771875017 | loss : 7.348014831542969 | done : True
episode : 313 | score_avg : 11.893917394687515 | loss : 7.25674295425415 | done : True
episode : 314 | score_avg : 11.604525655218763 | loss : 3.5384254455566406 | done : True
episode : 315 | score_avg : 11.694073089696888 | loss : 10.599050521850586 | done : True
episode : 316 | score_avg : 11.874665780727199 | loss : 4.071713447570801 | done : True
episode : 317 | score_avg : 11.887199202654479 | loss : 3.6303658485412598 | done : True
episode : 318 | score_avg : 12.148479282389033 | loss : 6.509714126586914 | done : True
episode : 319 | score_avg : 12.03363135415013 | loss : 26.154130935668945 | done : True
episode : 320 | score_avg : 11.930268218735117 | loss : 25.48349952697754 | done : True
episode : 321 | score_avg : 11.437241396861605 | loss : 3.200472593307495 | done : True
episode : 322 | score_avg : 11.493517257175444 | loss : 4.061441898345947 | done : True
episode : 323 | score_avg : 11.644165531457901 | loss : 10.342721939086914 | done : True
episode : 324 | score_avg : 11.629748978312112 | loss : 16.79142951965332 | done : True
episode : 325 | score_avg : 11.966774080480901 | loss : 5.3636250495910645 | done : True
episode : 326 | score_avg : 11.42009667243281 | loss : 2.897303342819214 | done : True
episode : 327 | score_avg : 11.12808700518953 | loss : 3.1732428073883057 | done : True
episode : 328 | score_avg : 11.015278304670577 | loss : 3.2622570991516113 | done : True
episode : 329 | score_avg : 11.263750474203519 | loss : 7.256727695465088 | done : True
episode : 330 | score_avg : 11.237375426783167 | loss : 3.514763355255127 | done : True
episode : 331 | score_avg : 11.46363788410485 | loss : 7.6075968742370605 | done : True
episode : 332 | score_avg : 10.917274095694365 | loss : 3.060772180557251 | done : True
episode : 333 | score_avg : 11.27554668612493 | loss : 6.654980182647705 | done : True
episode : 334 | score_avg : 11.397992017512436 | loss : 10.168546676635742 | done : True
episode : 335 | score_avg : 11.408192815761193 | loss : 3.703453540802002 | done : True
episode : 336 | score_avg : 11.467373534185075 | loss : 13.185709953308105 | done : True
episode : 337 | score_avg : 11.620636180766569 | loss : 8.806085586547852 | done : True
episode : 338 | score_avg : 11.958572562689913 | loss : 5.116591930389404 | done : True
episode : 339 | score_avg : 12.162715306420923 | loss : 6.657479763031006 | done : True
episode : 340 | score_avg : 11.64644377577883 | loss : 3.2056093215942383 | done : True
episode : 341 | score_avg : 11.581799398200946 | loss : 26.366168975830078 | done : True
episode : 342 | score_avg : 11.323619458380852 | loss : 3.398723602294922 | done : True
episode : 343 | score_avg : 11.191257512542768 | loss : 51.48551559448242 | done : True
episode : 344 | score_avg : 11.272131761288492 | loss : 12.640005111694336 | done : True
episode : 345 | score_avg : 11.644918585159642 | loss : 5.376655101776123 | done : True
episode : 346 | score_avg : 11.680426726643677 | loss : 4.061437129974365 | done : True
episode : 347 | score_avg : 11.61238405397931 | loss : 3.9689173698425293 | done : True
episode : 348 | score_avg : 11.85114564858138 | loss : 6.444761276245117 | done : True
episode : 349 | score_avg : 12.116031083723243 | loss : 6.5330491065979 | done : True
episode : 350 | score_avg : 12.204427975350919 | loss : 3.936513662338257 | done : True
episode : 351 | score_avg : 12.483985177815827 | loss : 5.1291303634643555 | done : True
episode : 352 | score_avg : 12.435586660034243 | loss : 4.247457504272461 | done : True
episode : 353 | score_avg : 12.64202799403082 | loss : 6.671422481536865 | done : True
episode : 354 | score_avg : 12.627825194627738 | loss : 3.9379324913024902 | done : True
episode : 355 | score_avg : 12.165042675164965 | loss : 3.2282931804656982 | done : True
episode : 356 | score_avg : 11.74853840764847 | loss : 3.3649415969848633 | done : True
